NAMES                                STATUS             PORTS                                                                                                                                    IMAGE
sunwin-gameplatform_baicao-1         Up About an hour   0.0.0.0:1143-1145->1143-1145/tcp, [::]:1143-1145->1143-1145/tcp                                                                          bancodegame/gameplatform_baicao:v1.1
sunwin-gameplatform_bacay-1          Up About an hour   0.0.0.0:1043-1045->1043-1045/tcp, [::]:1043-1045->1043-1045/tcp                                                                          bancodegame/gameplatform_bacay:v1.1
sunwin-gameplatform_tlmn-1           Up About an hour   0.0.0.0:2143-2145->2143-2145/tcp, [::]:2143-2145->2143-2145/tcp                                                                          bancodegame/gameplatform_tlmn:v1.1
sunwin-gameplatform_taixiumd5-1      Up About an hour   0.0.0.0:12043-12045->12043-12045/tcp, [::]:12043-12045->12043-12045/tcp                                                                  bancodegame/gameplatform_taixiumd5:v1.1
bancalitenet-fish-1                  Up 29 hours                                                                                                                                                 bancodegame/fish
game-hazelcast                       Up 2 hours         0.0.0.0:5701->5701/tcp, [::]:5701->5701/tcp                                                                                              hazelcast/hazelcast:3.9
mysql-game-db2                       Up 29 hours        0.0.0.0:3306->3306/tcp, [::]:3306->3306/tcp, 33060/tcp                                                                                   mysql:5.7
game-rabbitmq                        Up 4 hours         4369/tcp, 5671/tcp, 0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 15671/tcp, 25672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp   rabbitmq:3.8.3-management
game-mongo                           Up 36 seconds      0.0.0.0:27017-27019->27017-27019/tcp, [::]:27017-27019->27017-27019/tcp                                                                  mongo:4.0.16-xenial
env-setup-redis-1                    Up 29 hours        0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                                                              bitnami/redis:latest
